id,name,imageURL,affiliateURL
1058418,白石かんな,http://pics.dmm.co.jp/mono/actjpgs/siraisi_kanna.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1058418%2F&af_id=avzeus-999&ch=api
1053422,飯山香織,http://pics.dmm.co.jp/mono/actjpgs/iiyama_kaori.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1053422%2F&af_id=avzeus-999&ch=api
15570,KAORI,http://pics.dmm.co.jp/mono/actjpgs/kaori3.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D15570%2F&af_id=avzeus-999&ch=api
1038172,さくらい麻乃,no-url,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1038172%2F&af_id=avzeus-999&ch=api
1048872,赤渕蓮,http://pics.dmm.co.jp/mono/actjpgs/akahuti_ren.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1048872%2F&af_id=avzeus-999&ch=api
1014279,新山かえで,http://pics.dmm.co.jp/mono/actjpgs/niiyama_kaede.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1014279%2F&af_id=avzeus-999&ch=api
1064050,星優香,no-url,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1064050%2F&af_id=avzeus-999&ch=api
1018026,古川いおり,http://pics.dmm.co.jp/mono/actjpgs/kogawa_iori.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1018026%2F&af_id=avzeus-999&ch=api
1055895,吉岡ひより,http://pics.dmm.co.jp/mono/actjpgs/yosioka_hiyori.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1055895%2F&af_id=avzeus-999&ch=api
1042035,北川礼子,http://pics.dmm.co.jp/mono/actjpgs/kitagawa_reiko.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1042035%2F&af_id=avzeus-999&ch=api
1035596,黒木いくみ,http://pics.dmm.co.jp/mono/actjpgs/kuroki_ikumi.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1035596%2F&af_id=avzeus-999&ch=api
1046112,星あめり,http://pics.dmm.co.jp/mono/actjpgs/hosi_ameri.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1046112%2F&af_id=avzeus-999&ch=api
1044814,相沢夏帆,http://pics.dmm.co.jp/mono/actjpgs/aizawa_kaho2.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1044814%2F&af_id=avzeus-999&ch=api
1065651,逢坂りの,no-url,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1065651%2F&af_id=avzeus-999&ch=api
1065526,初愛ねんね,http://pics.dmm.co.jp/mono/actjpgs/ui_nenne.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1065526%2F&af_id=avzeus-999&ch=api
1060916,田原凛花,http://pics.dmm.co.jp/mono/actjpgs/tahara_rinka.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1060916%2F&af_id=avzeus-999&ch=api
1020504,白石茉莉奈,http://pics.dmm.co.jp/mono/actjpgs/siraisi_marina.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1020504%2F&af_id=avzeus-999&ch=api
1060592,希代あみ,http://pics.dmm.co.jp/mono/actjpgs/kitai_ami.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1060592%2F&af_id=avzeus-999&ch=api
